date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:27:11	89824/89824	---M--	200	added ('OK')	application/font-woff	etag:%2215ee0-60a63eb9-b945ec26a07e655b;;;%22	https://gestao.co.in/assets/frontend/default/webfonts/fa-brands-400.woff	C:/My%20Web%20Sites/Gestao%201/gestao.co.in/assets/frontend/default/webfonts/fa-brands-400.woff	(from https://gestao.co.in/assets/frontend/default/css/font-awesome.min.css)
12:27:12	132728/132728	---M--	200	added ('OK')	application/x-font-ttf	etag:%2220678-60a63eb9-60ecebda13b74829;;;%22	https://gestao.co.in/assets/frontend/default/webfonts/fa-brands-400.ttf	C:/My%20Web%20Sites/Gestao%201/gestao.co.in/assets/frontend/default/webfonts/fa-brands-400.ttf	(from https://gestao.co.in/assets/frontend/default/css/font-awesome.min.css)
12:27:12	34390/34390	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%228656-60a63eba-918480b0216c7b40;;;%22	https://gestao.co.in/assets/frontend/default/webfonts/fa-regular-400.eot	C:/My%20Web%20Sites/Gestao%201/gestao.co.in/assets/frontend/default/webfonts/fa-regular-400.eot	(from https://gestao.co.in/assets/frontend/default/css/font-awesome.min.css)
12:27:12	715890/715890	---M-Z	200	added ('OK')	image/svg+xml	etag:%22aec72-60a63eb8-2aaf67d396d4d99c;gz%22	https://gestao.co.in/assets/frontend/default/webfonts/fa-brands-400.svg	C:/My%20Web%20Sites/Gestao%201/gestao.co.in/assets/frontend/default/webfonts/fa-brands-400.svg	(from https://gestao.co.in/assets/frontend/default/css/font-awesome.min.css)
12:27:13	34390/34390	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%228656-60a63eba-918480b0216c7b40;;;%22	https://gestao.co.in/assets/frontend/default/webfonts/fa-regular-400.eot?	C:/My%20Web%20Sites/Gestao%201/gestao.co.in/assets/frontend/default/webfonts/fa-regular-400d41d.eot	(from https://gestao.co.in/assets/frontend/default/css/font-awesome.min.css)
12:27:13	13584/13584	---M--	200	added ('OK')	font/woff2	etag:%223510-60a63ebc-692623fcc1c99d7a;;;%22	https://gestao.co.in/assets/frontend/default/webfonts/fa-regular-400.woff2	C:/My%20Web%20Sites/Gestao%201/gestao.co.in/assets/frontend/default/webfonts/fa-regular-400.woff2	(from https://gestao.co.in/assets/frontend/default/css/font-awesome.min.css)
12:27:13	16800/16800	---M--	200	added ('OK')	application/font-woff	etag:%2241a0-60a63ebc-ec3bbcb854cabdc7;;;%22	https://gestao.co.in/assets/frontend/default/webfonts/fa-regular-400.woff	C:/My%20Web%20Sites/Gestao%201/gestao.co.in/assets/frontend/default/webfonts/fa-regular-400.woff	(from https://gestao.co.in/assets/frontend/default/css/font-awesome.min.css)
12:27:13	34092/34092	---M--	200	added ('OK')	application/x-font-ttf	etag:%22852c-60a63ebb-f4a3b85e83597278;;;%22	https://gestao.co.in/assets/frontend/default/webfonts/fa-regular-400.ttf	C:/My%20Web%20Sites/Gestao%201/gestao.co.in/assets/frontend/default/webfonts/fa-regular-400.ttf	(from https://gestao.co.in/assets/frontend/default/css/font-awesome.min.css)
12:27:14	144322/144322	---M-Z	200	added ('OK')	image/svg+xml	etag:%22233c2-60a63ebb-a2c40e1559d74a6d;gz%22	https://gestao.co.in/assets/frontend/default/webfonts/fa-regular-400.svg	C:/My%20Web%20Sites/Gestao%201/gestao.co.in/assets/frontend/default/webfonts/fa-regular-400.svg	(from https://gestao.co.in/assets/frontend/default/css/font-awesome.min.css)
12:27:14	202902/202902	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2231896-60a63ebd-610d9604b1a66b6c;;;%22	https://gestao.co.in/assets/frontend/default/webfonts/fa-solid-900.eot	C:/My%20Web%20Sites/Gestao%201/gestao.co.in/assets/frontend/default/webfonts/fa-solid-900.eot	(from https://gestao.co.in/assets/frontend/default/css/font-awesome.min.css)
